"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\ELIXIR\Process(calc)\% Processor Time","\\ELIXIR\Process(calc)\IO Data Bytes/sec","\\ELIXIR\Process(calc)\IO Read Operations/sec","\\ELIXIR\Process(calc)\IO Write Operations/sec","\\ELIXIR\Process(calc)\Thread Count","\\ELIXIR\Process(calc)\Virtual Bytes"
"11/07/2013 19:59:21.435","1","0","0","0","2","29552640"
"11/07/2013 19:59:26.442","0","0","0","0","2","29552640"
"11/07/2013 19:59:31.449","0","0","0","0","2","29552640"
"11/07/2013 19:59:36.456","0","0","0","0","2","29552640"
"11/07/2013 19:59:41.464","0","0","0","0","2","29552640"
"11/07/2013 19:59:46.471","0","0","0","0","2","29552640"
"11/07/2013 19:59:51.478","0.80000000000000004","0","0","0","2","29552640"
"11/07/2013 19:59:56.485","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:00:01.492","0","0","0","0","2","29552640"
"11/07/2013 20:00:06.500","0","0","0","0","2","29552640"
"11/07/2013 20:00:11.507","0","0","0","0","2","29552640"
"11/07/2013 20:00:16.514","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:00:21.521","0","0","0","0","2","29552640"
"11/07/2013 20:00:26.528","0","0","0","0","2","29552640"
"11/07/2013 20:00:31.536","0","0","0","0","2","29552640"
"11/07/2013 20:00:36.543","0","0","0","0","2","29552640"
"11/07/2013 20:00:41.550","0","0","0","0","2","29552640"
"11/07/2013 20:00:46.557","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:00:51.564","0.59999999999999998","0","0","0","2","29552640"
"11/07/2013 20:00:56.572","0","0","0","0","2","29552640"
"11/07/2013 20:01:01.579","0","0","0","0","2","29552640"
"11/07/2013 20:01:06.586","0","0","0","0","2","29552640"
"11/07/2013 20:01:11.593","0","0","0","0","2","29552640"
"11/07/2013 20:01:16.600","0","0","0","0","2","29552640"
"11/07/2013 20:01:21.608","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:01:26.615","0","0","0","0","2","29552640"
"11/07/2013 20:01:31.622","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:01:36.629","0","0","0","0","2","29552640"
"11/07/2013 20:01:41.636","0","0","0","0","2","29552640"
"11/07/2013 20:01:46.644","0","0","0","0","2","29552640"
"11/07/2013 20:01:51.651","0","0","0","0","2","29552640"
"11/07/2013 20:01:56.658","0","0","0","0","2","29552640"
"11/07/2013 20:02:01.665","0","0","0","0","2","29552640"
"11/07/2013 20:02:06.672","0","0","0","0","2","29552640"
"11/07/2013 20:02:11.680","0","0","0","0","2","29552640"
"11/07/2013 20:02:16.687","0","0","0","0","2","29552640"
"11/07/2013 20:02:21.694","0","0","0","0","2","29552640"
"11/07/2013 20:02:26.701","0","0","0","0","2","29552640"
"11/07/2013 20:02:31.708","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:02:36.716","0","0","0","0","2","29552640"
"11/07/2013 20:02:41.723","0","0","0","0","2","29552640"
"11/07/2013 20:02:46.730","0","0","0","0","2","29552640"
"11/07/2013 20:02:51.737","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:02:56.744","0","0","0","0","2","29552640"
"11/07/2013 20:03:01.752","0","0","0","0","2","29552640"
"11/07/2013 20:03:06.759","0","0","0","0","2","29552640"
"11/07/2013 20:03:11.766","0","0","0","0","2","29552640"
"11/07/2013 20:03:16.773","0","0","0","0","2","29552640"
"11/07/2013 20:03:21.780","0","0","0","0","2","29552640"
"11/07/2013 20:03:26.788","0","0","0","0","2","29552640"
"11/07/2013 20:03:31.795","0","0","0","0","2","29552640"
"11/07/2013 20:03:36.802","0","0","0","0","2","29552640"
"11/07/2013 20:03:41.809","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:03:46.816","0","0","0","0","2","29552640"
"11/07/2013 20:03:51.824","0","0","0","0","2","29552640"
"11/07/2013 20:03:56.831","0","0","0","0","2","29552640"
"11/07/2013 20:04:01.838","0","0","0","0","2","29552640"
"11/07/2013 20:04:06.845","0","0","0","0","2","29552640"
"11/07/2013 20:04:11.852","0","0","0","0","2","29552640"
"11/07/2013 20:04:16.860","0","0","0","0","2","29552640"
"11/07/2013 20:04:21.867","0","0","0","0","2","29552640"
"11/07/2013 20:04:26.874","0","0","0","0","2","29552640"
"11/07/2013 20:04:31.881","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:04:36.888","0","0","0","0","2","29552640"
"11/07/2013 20:04:41.896","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:04:46.903","0","0","0","0","2","29552640"
"11/07/2013 20:04:51.910","0","0","0","0","2","29552640"
"11/07/2013 20:04:56.917","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:05:01.924","0","0","0","0","2","29552640"
"11/07/2013 20:05:06.932","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:05:11.939","0","0","0","0","2","29552640"
"11/07/2013 20:05:16.946","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:05:21.953","0","0","0","0","2","29552640"
"11/07/2013 20:05:26.960","0","0","0","0","2","29552640"
"11/07/2013 20:05:31.968","0","0","0","0","2","29552640"
"11/07/2013 20:05:36.975","0","0","0","0","2","29552640"
"11/07/2013 20:05:41.982","0","0","0","0","2","29552640"
"11/07/2013 20:05:46.989","0","0","0","0","2","29552640"
"11/07/2013 20:05:51.996","0","0","0","0","2","29552640"
"11/07/2013 20:05:57.004","0","0","0","0","2","29552640"
"11/07/2013 20:06:02.011","0","0","0","0","2","29552640"
"11/07/2013 20:06:07.018","0","0","0","0","2","29552640"
"11/07/2013 20:06:12.025","0","0","0","0","2","29552640"
"11/07/2013 20:06:17.032","0","0","0","0","2","29552640"
"11/07/2013 20:06:22.040","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:06:27.047","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:06:32.054","0","0","0","0","2","29552640"
"11/07/2013 20:06:37.061","0","0","0","0","2","29552640"
"11/07/2013 20:06:42.068","0","0","0","0","2","29552640"
"11/07/2013 20:06:47.076","0","0","0","0","2","29552640"
"11/07/2013 20:06:52.083","0","0","0","0","2","29552640"
"11/07/2013 20:06:57.090","0.40000000000000002","0","0","0","2","29552640"
"11/07/2013 20:07:02.097","0","0","0","0","2","29552640"
"11/07/2013 20:07:07.104","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:07:12.112","0","0","0","0","2","29552640"
"11/07/2013 20:07:17.119","0","0","0","0","2","29552640"
"11/07/2013 20:07:22.126","0","0","0","0","2","29552640"
"11/07/2013 20:07:27.133","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:07:32.140","0","0","0","0","2","29552640"
"11/07/2013 20:07:37.148","0","0","0","0","2","29552640"
"11/07/2013 20:07:42.155","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:07:47.162","0","0","0","0","2","29552640"
"11/07/2013 20:07:52.169","0","0","0","0","2","29552640"
"11/07/2013 20:07:57.176","0","0","0","0","2","29552640"
"11/07/2013 20:08:02.184","0","0","0","0","2","29552640"
"11/07/2013 20:08:07.191","0","0","0","0","2","29552640"
"11/07/2013 20:08:12.198","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:08:17.205","0","0","0","0","2","29552640"
"11/07/2013 20:08:22.212","0","0","0","0","2","29552640"
"11/07/2013 20:08:27.220","0","0","0","0","2","29552640"
"11/07/2013 20:08:32.227","0","0","0","0","2","29552640"
"11/07/2013 20:08:37.234","0","0","0","0","2","29552640"
"11/07/2013 20:08:42.241","0","0","0","0","2","29552640"
"11/07/2013 20:08:47.248","0","0","0","0","2","29552640"
"11/07/2013 20:08:52.256","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:08:57.263","0","0","0","0","2","29552640"
"11/07/2013 20:09:02.270","0","0","0","0","2","29552640"
"11/07/2013 20:09:07.277","0","0","0","0","2","29552640"
"11/07/2013 20:09:12.284","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:09:17.292","0","0","0","0","2","29552640"
